Symbol,Total_Trades,Realized_PnL,Current_Position,Position_Status
TQQQ,79,575.77,15,OPEN
UBER,38,274.26,0,CLOSED
SDOW,9,157.4,0,CLOSED
IONS,29,140.48,0,CLOSED
ITA,14,117.43,0,CLOSED
DK,5,104.4,-20,OPEN
MNST,3,97.92,0,CLOSED
ARKG,10,54.3,0,CLOSED
ZETA,3,52.14,0,CLOSED
MSOS,7,48.73,50,OPEN
GRAL,8,47.62,0,CLOSED
JHX,6,41.63,0,CLOSED
BE,7,24.55,0,CLOSED
IAU,21,21.94,0,CLOSED
COP,3,20.95,0,CLOSED
EIX,2,17.7,0,CLOSED
KRC,5,16.8,0,CLOSED
AMZU,3,13.54,0,CLOSED
SLB,4,13.3,0,CLOSED
FAS,2,12.16,0,CLOSED
KO,2,11.52,0,CLOSED
USO,8,8.45,0,CLOSED
WMT,2,5.4,0,CLOSED
SMTC,7,5.15,0,CLOSED
AAPL,6,4.44,15,OPEN
CTVA,5,4.41,0,CLOSED
ES,2,3.44,0,CLOSED
USB,2,3.2,0,CLOSED
WB,2,0.06,0,CLOSED
DFEN,2,-0.4,0,CLOSED
CVS,5,-0.64,0,CLOSED
GEN,3,-1.38,0,CLOSED
CP,2,-3.0,0,CLOSED
PSQ,3,-3.24,0,CLOSED
QQQM,6,-4.29,0,CLOSED
PLTD,2,-6.4,0,CLOSED
UDOW,33,-7.77,12,OPEN
NI,5,-8.62,0,CLOSED
CPB,4,-9.1,0,CLOSED
BILI,2,-11.1,0,CLOSED
GLNG,3,-12.2,0,CLOSED
PAYO,3,-12.94,0,CLOSED
BBY,2,-16.7,0,CLOSED
KVYO,2,-18.4,0,CLOSED
CADE,3,-18.7,0,CLOSED
SOUN,3,-26.0,35,OPEN
AUR,2,-32.25,0,CLOSED
EXE,7,-42.1,0,CLOSED
APA,4,-43.7,0,CLOSED
TOST,17,-48.9,0,CLOSED
CSCO,3,-54.8,0,CLOSED
NAIL,4,-82.41,0,CLOSED
PLTR,4,-117.3,0,CLOSED
TWLO,3,-175.85,0,CLOSED
WRD,3,-186.38,0,CLOSED
ASTS,9,-197.0,0,CLOSED
SQQQ,25,-378.16,0,CLOSED
